127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-28 14:12:31, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-06-28 14:12:32, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-28 14:12:32, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-28 14:12:32, GET, /admin/default/edit/resttest2/cron/crontab, HTTP/1.1, 200, 0.133000
127.0.0.1, 2018-06-28 14:12:32, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 14:12:32, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-06-28 14:12:33, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.869000
127.0.0.1, 2018-06-28 14:12:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.909000
127.0.0.1, 2018-06-28 14:12:33, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.829000
127.0.0.1, 2018-06-28 14:12:33, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.959000
127.0.0.1, 2018-06-28 14:12:44, GET, /admin/default/site, HTTP/1.1, 200, 0.140000
127.0.0.1, 2018-06-28 14:12:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114000
127.0.0.1, 2018-06-28 14:12:45, GET, /resttest2/appadmin/hooks, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-06-28 14:12:48, GET, /admin/default/design/resttest2, HTTP/1.1, 200, 1.437000
127.0.0.1, 2018-06-28 14:12:55, GET, /admin/default/test/resttest2, HTTP/1.1, 200, 0.135000
127.0.0.1, 2018-06-28 14:12:56, POST, /resttest2/appadmin/_TEST, HTTP/1.1, 200, 0.908000
127.0.0.1, 2018-06-28 14:12:56, POST, /resttest2/default/_TEST, HTTP/1.1, 200, 0.950000
